name,url,birthplace,
A.J. Jenks',http://sportsforecaster.com/nhl/player/6746,USA,
A.J. Thelen',http://sportsforecaster.com/nhl/player/4821,USA,
Aaron Downey',http://sportsforecaster.com/nhl/player/663,CAN,
Aaron Gagnon',http://sportsforecaster.com/nhl/player/4896,CAN,
Aaron Johnson',http://sportsforecaster.com/nhl/player/2576,CAN,
Aaron Marvin',http://sportsforecaster.com/nhl/player/5714,USA,
Aaron Miller',http://sportsforecaster.com/nhl/player/857,USA,
Aaron Ness',http://sportsforecaster.com/nhl/player/6832,USA,
Aaron Palushaj',http://sportsforecaster.com/nhl/player/6244,USA,
Aaron Rome',http://sportsforecaster.com/nhl/player/3064,CAN,
Aaron Sorochan',http://sportsforecaster.com/nhl/player/5041,CAN,
Aaron Volpatti',http://sportsforecaster.com/nhl/player/8435,CAN,
Aaron Voros',http://sportsforecaster.com/nhl/player/2473,CAN,
Aaron Ward',http://sportsforecaster.com/nhl/player/1503,CAN,
Adam Almqvist',http://sportsforecaster.com/nhl/player/7627,SWE,
Adam Burish',http://sportsforecaster.com/nhl/player/3017,USA,
Adam Carlson',http://sportsforecaster.com/nhl/player/15875,USA,
Adam Chapie',http://sportsforecaster.com/nhl/player/15910,USA,
Adam Clendening',http://sportsforecaster.com/nhl/player/9052,USA,
Adam Comrie',http://sportsforecaster.com/nhl/player/6649,CAN,
Adam Courchaine',http://sportsforecaster.com/nhl/player/3478,CAN,
Adam Cracknell',http://sportsforecaster.com/nhl/player/4916,CAN,
Adam Dennis',http://sportsforecaster.com/nhl/player/4551,CAN,
Adam Foote',http://sportsforecaster.com/nhl/player/843,CAN,
Adam Gilmour',http://sportsforecaster.com/nhl/player/9590,USA,
Adam Hall',http://sportsforecaster.com/nhl/player/1876,USA,
Adam Hauser',http://sportsforecaster.com/nhl/player/2847,USA,
Adam Henrich',http://sportsforecaster.com/nhl/player/3165,CAN,
Adam Mair',http://sportsforecaster.com/nhl/player/881,CAN,
Adam Morrison',http://sportsforecaster.com/nhl/player/7377,CAN,
Adam Munro',http://sportsforecaster.com/nhl/player/2560,CAN,
Adam Pardy',http://sportsforecaster.com/nhl/player/4879,CAN,
Adam Payerl',http://sportsforecaster.com/nhl/player/7392,CAN,
Adam Pineault',http://sportsforecaster.com/nhl/player/4742,USA,
Adam Polasek',http://sportsforecaster.com/nhl/player/7628,CZE,
Adam Tambellini',http://sportsforecaster.com/nhl/player/10372,CAN,
Adam Vay',http://sportsforecaster.com/nhl/player/15894,,HUNGARY?
Adam Wilcox',http://sportsforecaster.com/nhl/player/9019,USA,
Adrian Aucoin',http://sportsforecaster.com/nhl/player/724,CAN,
Adrian Foster',http://sportsforecaster.com/nhl/player/2524,CAN,
Ahren Nittel',http://sportsforecaster.com/nhl/player/3119,,INCORRECT LINK
Aki Berg',http://sportsforecaster.com/nhl/player/1101,FIN,
Aki Seitsonen',http://sportsforecaster.com/nhl/player/4790,FIN,
Akim Aliu',http://sportsforecaster.com/nhl/player/6186,NGR,
Al MacInnis',http://sportsforecaster.com/nhl/player/679,CAN,
Al Montoya',http://sportsforecaster.com/nhl/player/4706,USA,
Alain Berger',http://sportsforecaster.com/nhl/player/7622,,SWITZ
Alec Martinez',http://sportsforecaster.com/nhl/player/5300,USA,
Alec Richards',http://sportsforecaster.com/nhl/player/5357,USA,
Aleksander Suglobov',http://sportsforecaster.com/nhl/player/2601,RUS,
Aleksey Morozov',http://sportsforecaster.com/nhl/player/257,RUS,
Ales Hemsky',http://sportsforecaster.com/nhl/player/2376,CZE,
Ales Kotalik',http://sportsforecaster.com/nhl/player/1128,CZE,
Alex Auld',http://sportsforecaster.com/nhl/player/1892,CAN,
Alex Berry',http://sportsforecaster.com/nhl/player/4507,USA,
Alex Bourret',http://sportsforecaster.com/nhl/player/4987,CAN,
Alex Broadhurst',http://sportsforecaster.com/nhl/player/8879,USA,
Alex Dostie',http://sportsforecaster.com/nhl/player/16396,,
Alex Foster',http://sportsforecaster.com/nhl/player/5541,,
Alex Friesen',http://sportsforecaster.com/nhl/player/7224,,
Alex Grant',http://sportsforecaster.com/nhl/player/6166,,
Alex Henry',http://sportsforecaster.com/nhl/player/374,,
Alex Hutchings',http://sportsforecaster.com/nhl/player/7416,,
Alex Kangas',http://sportsforecaster.com/nhl/player/5882,,
Alex Khokhlachev',http://sportsforecaster.com/nhl/player/9020,,
Alex Lintuniemi',http://sportsforecaster.com/nhl/player/10657,,
Alex Picard',http://sportsforecaster.com/nhl/player/3496,,
Alex Plante',http://sportsforecaster.com/nhl/player/6267,,
Alex Roach',http://sportsforecaster.com/nhl/player/9215,,
Alex Schoenborn',http://sportsforecaster.com/nhl/player/10872,,
Alex Tanguay',http://sportsforecaster.com/nhl/player/1605,,
Alexander Bumagin',http://sportsforecaster.com/nhl/player/5461,,
Alexander Burmistrov',http://sportsforecaster.com/nhl/player/7870,,
Alexander Fallstrom',http://sportsforecaster.com/nhl/player/6691,,
Alexander Frolov',http://sportsforecaster.com/nhl/player/2179,,
Alexander Guptill',http://sportsforecaster.com/nhl/player/8397,,
Alexander Hellstrom',http://sportsforecaster.com/nhl/player/5225,,
Alexander Kadeykin',http://sportsforecaster.com/nhl/player/10961,,
Alexander Karpovtsev',http://sportsforecaster.com/nhl/player/420,,
Alexander Khavanov',http://sportsforecaster.com/nhl/player/2106,,
Alexander Kojevnikov',http://sportsforecaster.com/nhl/player/3055,,
Alexander Korolyuk',http://sportsforecaster.com/nhl/player/271,,
Alexander Mogilny',http://sportsforecaster.com/nhl/player/710,,
Alexander Nikulin',http://sportsforecaster.com/nhl/player/4715,,
Alexander Pechurski',http://sportsforecaster.com/nhl/player/6854,,
Alexander Perezhogin',http://sportsforecaster.com/nhl/player/2315,,
Alexander Polushin',http://sportsforecaster.com/nhl/player/2357,,
Alexander Salak',http://sportsforecaster.com/nhl/player/4453,,
Alexander Semin',http://sportsforecaster.com/nhl/player/3065,,
Alexander Sulzer',http://sportsforecaster.com/nhl/player/3744,,
Alexander Sundstrom',http://sportsforecaster.com/nhl/player/5391,,
Alexander Svitov',http://sportsforecaster.com/nhl/player/2368,,
Alexander Urbom',http://sportsforecaster.com/nhl/player/7664,,
Alexander Vasyunov',http://sportsforecaster.com/nhl/player/5664,,
Alexandre Burrows',http://sportsforecaster.com/nhl/player/5537,,
Alexandre Daigle',http://sportsforecaster.com/nhl/player/449,,
Alexandre Giroux',http://sportsforecaster.com/nhl/player/2304,,
Alexandre Grenier',http://sportsforecaster.com/nhl/player/8690,,
Alexandre Mallet',http://sportsforecaster.com/nhl/player/9672,,
Alexandre Picard',http://sportsforecaster.com/nhl/player/4095,,
Alexei Bereglazov',http://sportsforecaster.com/nhl/player/9293,,
Alexei Emelin',http://sportsforecaster.com/nhl/player/4861,,
Alexei Kaigorodov',http://sportsforecaster.com/nhl/player/2969,,
Alexei Kovalev',http://sportsforecaster.com/nhl/player/389,,
Alexei Mikhnov',http://sportsforecaster.com/nhl/player/2109,,
Alexei Ponikarovsky',http://sportsforecaster.com/nhl/player/1822,,
Alexei Semenov',http://sportsforecaster.com/nhl/player/1938,,
Alexei Shkotov',http://sportsforecaster.com/nhl/player/3089,,
Alexei Smirnov',http://sportsforecaster.com/nhl/player/2174,,
Alexei Yashin',http://sportsforecaster.com/nhl/player/475,,
Alexei Zhamnov',http://sportsforecaster.com/nhl/player/1040,,
Alexei Zhitnik',http://sportsforecaster.com/nhl/player/122,,
Alexey Marchenko',http://sportsforecaster.com/nhl/player/7808,,
Allan Rourke',http://sportsforecaster.com/nhl/player/1825,,
Allen York',http://sportsforecaster.com/nhl/player/6414,,
Alyn Mccauley',http://sportsforecaster.com/nhl/player/148,,
Anders Eriksson',http://sportsforecaster.com/nhl/player/1485,,
Anders Lindback',http://sportsforecaster.com/nhl/player/6791,,
Andre Benoit',http://sportsforecaster.com/nhl/player/3326,,
Andre Deveaux',http://sportsforecaster.com/nhl/player/3160,,
Andre Lakos',http://sportsforecaster.com/nhl/player/2015,,
Andre Petersson',http://sportsforecaster.com/nhl/player/6859,,
Andre Roy',http://sportsforecaster.com/nhl/player/26,,
Andreas Englund',http://sportsforecaster.com/nhl/player/10762,,
Andreas Engqvist',http://sportsforecaster.com/nhl/player/5889,,
Andreas Jamtin',http://sportsforecaster.com/nhl/player/2328,,
Andreas Johansson',http://sportsforecaster.com/nhl/player/1655,,
Andreas Karlsson',http://sportsforecaster.com/nhl/player/1908,,
Andreas Lilja',http://sportsforecaster.com/nhl/player/2200,,
Andreas Nodl',http://sportsforecaster.com/nhl/player/5771,,
Andreas Thuresson',http://sportsforecaster.com/nhl/player/6323,,
Andrei Kostitsyn',http://sportsforecaster.com/nhl/player/3678,,
Andrei Loktionov',http://sportsforecaster.com/nhl/player/6795,,
Andrei Markov',http://sportsforecaster.com/nhl/player/2055,,
Andrei Mironov',http://sportsforecaster.com/nhl/player/10280,,
Andrei Plekhanov',http://sportsforecaster.com/nhl/player/4745,,
Andrei Popov',http://sportsforecaster.com/nhl/player/5666,,
Andrei Taratukhin',http://sportsforecaster.com/nhl/player/2367,,
Andrei Zubarev',http://sportsforecaster.com/nhl/player/5420,,
Andrei Zyuzin',http://sportsforecaster.com/nhl/player/1722,,
Andrej Meszaros',http://sportsforecaster.com/nhl/player/4699,,
Andrej Nedorost',http://sportsforecaster.com/nhl/player/2210,,
Andrej Nestrasil',http://sportsforecaster.com/nhl/player/7338,,
Andrej Sustr',http://sportsforecaster.com/nhl/player/7999,,
Andrew Agozzino',http://sportsforecaster.com/nhl/player/8801,,
Andrew Alberts',http://sportsforecaster.com/nhl/player/2507,,
Andrew Bodnarchuk',http://sportsforecaster.com/nhl/player/5783,,
Andrew Brunette',http://sportsforecaster.com/nhl/player/758,,
Andrew Campbell',http://sportsforecaster.com/nhl/player/7094,,
Andrew Cassels',http://sportsforecaster.com/nhl/player/514,,
Andrew Crescenzi',http://sportsforecaster.com/nhl/player/7990,,
Andrew Desjardins',http://sportsforecaster.com/nhl/player/7898,,
Andrew Ebbett',http://sportsforecaster.com/nhl/player/6002,,
Andrew Ference',http://sportsforecaster.com/nhl/player/1376,,
Andrew Gordon',http://sportsforecaster.com/nhl/player/4593,,
Andrew Hammond',http://sportsforecaster.com/nhl/player/9944,,
Andrew Hutchinson',http://sportsforecaster.com/nhl/player/1950,,
Andrew Johnston',http://sportsforecaster.com/nhl/player/8714,,
Andrew Kozek',http://sportsforecaster.com/nhl/player/5258,,
Andrew MacWilliam',http://sportsforecaster.com/nhl/player/6803,,
Andrew Miller',http://sportsforecaster.com/nhl/player/7903,,
Andrew Murray',http://sportsforecaster.com/nhl/player/2546,,
Andrew O'Brien',http://sportsforecaster.com/nhl/player/9844,,
Andrew Orpik',http://sportsforecaster.com/nhl/player/5489,,
Andrew Peters',http://sportsforecaster.com/nhl/player/1795,,
Andrew Raycroft',http://sportsforecaster.com/nhl/player/1461,,
Andrew Sturtz',http://sportsforecaster.com/nhl/player/11929,,
Andrew Yogan',http://sportsforecaster.com/nhl/player/8349,,
Andrey Makarov',http://sportsforecaster.com/nhl/player/9436,,
Andrey Pedan',http://sportsforecaster.com/nhl/player/9117,,
Andy Andreoff',http://sportsforecaster.com/nhl/player/7307,,
Andy Chiodo',http://sportsforecaster.com/nhl/player/2287,,
Andy Delmore',http://sportsforecaster.com/nhl/player/519,,
Andy Hilbert',http://sportsforecaster.com/nhl/player/2141,,
Andy McDonald',http://sportsforecaster.com/nhl/player/2046,,
Andy Miele',http://sportsforecaster.com/nhl/player/8663,,
Andy Rogers',http://sportsforecaster.com/nhl/player/4769,,
Andy Sutton',http://sportsforecaster.com/nhl/player/692,,
Andy Wozniewski',http://sportsforecaster.com/nhl/player/4474,,
Angelo Esposito',http://sportsforecaster.com/nhl/player/6046,,
Anson Carter',http://sportsforecaster.com/nhl/player/810,,
Anssi Salmela',http://sportsforecaster.com/nhl/player/6591,,
Antero Niittymaki',http://sportsforecaster.com/nhl/player/2197,,
Anthony Aiello',http://sportsforecaster.com/nhl/player/4480,,
Anthony Bitetto',http://sportsforecaster.com/nhl/player/7265,,
Anthony Camara',http://sportsforecaster.com/nhl/player/9106,,
Anthony Peluso',http://sportsforecaster.com/nhl/player/6169,,
Anthony Stewart',http://sportsforecaster.com/nhl/player/3516,,
Antoine Laganiere',http://sportsforecaster.com/nhl/player/6778,,
Antoine Vermette',http://sportsforecaster.com/nhl/player/2130,,
Anton Axelsson',http://sportsforecaster.com/nhl/player/4491,,
Anton Babchuk',http://sportsforecaster.com/nhl/player/2897,,
Anton Belov',http://sportsforecaster.com/nhl/player/4505,,
Anton Blomqvist',http://sportsforecaster.com/nhl/player/7593,,
Anton Forsberg',http://sportsforecaster.com/nhl/player/8855,,
Anton Gustafsson',http://sportsforecaster.com/nhl/player/6716,,
Anton Krysanov',http://sportsforecaster.com/nhl/player/5262,,
Anton Lander',http://sportsforecaster.com/nhl/player/7666,,
Anton Lindholm',http://sportsforecaster.com/nhl/player/10953,,
Anton Rodin',http://sportsforecaster.com/nhl/player/7672,,
Anton Slepyshev',http://sportsforecaster.com/nhl/player/9519,,
Anton Volchenkov',http://sportsforecaster.com/nhl/player/2140,,
Anton Zlobin',http://sportsforecaster.com/nhl/player/9581,,
Antti Laaksonen',http://sportsforecaster.com/nhl/player/592,,
Antti Miettinen',http://sportsforecaster.com/nhl/player/2914,,
Antti Pihlstrom',http://sportsforecaster.com/nhl/player/6072,,
Ari Ahonen',http://sportsforecaster.com/nhl/player/1930,,
Ari Vallin',http://sportsforecaster.com/nhl/player/5965,,
Arron Asham',http://sportsforecaster.com/nhl/player/584,,
Arsi Piispanen',http://sportsforecaster.com/nhl/player/3703,,
Artem Chubarov',http://sportsforecaster.com/nhl/player/1310,,
Artem Sergeev',http://sportsforecaster.com/nhl/player/8369,,
Arttu Luttinen',http://sportsforecaster.com/nhl/player/3134,,
Arturs Kulda',http://sportsforecaster.com/nhl/player/5993,,
Atte Engren',http://sportsforecaster.com/nhl/player/5847,,
